tick,num_nodes,waiting_tasks,running_tasks,total_tasks,scheduling_time_s,total_cpu_util,total_ram_util,total_storage_util
1,200,783,742,1525,0.01033610000013141,1.0,0.5284375,0.4175
2,200,543,697,1240,0.00471310000102676,0.930625,0.495,0.39201
3,200,980,729,1709,0.008842299999741954,0.9653125,0.517265625,0.40918
4,200,1522,716,2238,0.013411899999482557,0.9234375,0.50890625,0.39966
5,200,978,741,1719,0.008900400000129594,0.9425,0.527578125,0.40984
6,200,919,741,1660,0.008595999999670312,0.93125,0.525625,0.40786
7,200,1222,763,1985,0.011356500001056702,0.9425,0.5446875,0.4172
8,200,1339,764,2103,0.012207899999339134,0.9428125,0.550078125,0.41794
9,200,1036,768,1804,0.009623299998565926,0.9284375,0.551953125,0.42101
10,200,990,769,1759,0.009374699999170844,0.9159375,0.555703125,0.42093
11,200,1076,775,1851,0.009676699999545235,0.925625,0.5571875,0.42752
12,198,1140,785,1925,0.010621299999911571,0.9321338383838383,0.5633680555555556,0.440010101010101
13,198,1023,781,1804,0.00911919999998645,0.9090909090909091,0.5534248737373737,0.4354141414141414
14,196,742,787,1529,0.0067555000005086185,0.9116709183673469,0.5616230867346939,0.4484183673469388
15,196,557,792,1349,0.005131299998538452,0.9027423469387755,0.5639349489795918,0.4531734693877551
16,196,440,809,1249,0.004800200000318,0.9068877551020408,0.5734215561224489,0.45977551020408164
17,196,295,819,1114,0.0029084999987389892,0.8861607142857143,0.5782047193877551,0.45887755102040817
18,196,747,833,1580,0.006919299999935902,0.9030612244897959,0.5810746173469388,0.4707448979591837
19,196,659,830,1489,0.006229300000995863,0.8816964285714286,0.5821109693877551,0.4664081632653061
20,196,1394,817,2211,0.012512600000263774,0.8714923469387755,0.5790019132653061,0.46124489795918366
21,196,1334,870,2204,0.012033499999233754,0.9241071428571429,0.6167889030612245,0.4931938775510204
22,196,1830,861,2691,0.016008500000680215,0.90625,0.6122448979591837,0.49178571428571427
23,196,1543,890,2433,0.01362890000018524,0.9257015306122449,0.6255580357142857,0.5039489795918367
24,196,2157,867,3024,0.018873900000471622,0.9068877551020408,0.6179049744897959,0.49323469387755103
25,195,2909,882,3791,0.024997099999382044,0.9131410256410256,0.6361378205128205,0.5068102564102565
26,194,2915,883,3798,0.024868200000128127,0.9146262886597938,0.6436855670103093,0.508639175257732
27,194,2441,875,3316,0.020961300000635674,0.8994845360824743,0.6386114690721649,0.5036082474226804
28,194,2820,907,3727,0.02428460000010091,0.9362113402061856,0.6663981958762887,0.5249072164948454
29,194,3347,897,4244,0.028541900001073373,0.9088273195876289,0.6585051546391752,0.5144020618556701
30,196,3239,911,4150,0.028630200000407058,0.9228316326530612,0.6635044642857143,0.5136428571428572
31,196,3683,922,4605,0.031996600000638864,0.9253826530612245,0.6694036989795918,0.516969387755102
32,191,3528,890,4418,0.02932420000070124,0.9109947643979057,0.6591950261780105,0.5106701570680628
33,191,3457,882,4339,0.029110099998433725,0.8916884816753927,0.6543684554973822,0.5127958115183247
34,191,3045,883,3928,0.025821600000199396,0.881871727748691,0.647496727748691,0.5171413612565445
35,191,3029,908,3937,0.0268753000000288,0.9159031413612565,0.6613219895287958,0.5281047120418848
36,191,2989,890,3879,0.025354299999889918,0.8988874345549738,0.6506871727748691,0.5121675392670157
37,191,3061,911,3972,0.026649999999790452,0.9106675392670157,0.6607493455497382,0.5312460732984293
38,191,3530,909,4439,0.030083199999353383,0.8952879581151832,0.6609947643979057,0.5278219895287958
39,191,4174,907,5081,0.03533939999942959,0.9181937172774869,0.6540412303664922,0.520586387434555
40,191,3563,908,4471,0.031070299999555573,0.9132853403141361,0.6539594240837696,0.5258115183246074
41,191,3659,902,4561,0.0311970000002475,0.9037958115183246,0.6533049738219895,0.5219267015706807
42,194,3957,925,4882,0.033779600000343635,0.9352448453608248,0.662854381443299,0.5211340206185567
43,194,3945,892,4837,0.03406809999978577,0.8930412371134021,0.6386114690721649,0.5088350515463917
44,196,4585,908,5493,0.041204900000593625,0.9158163265306123,0.6425382653061225,0.5130204081632653
45,196,4187,890,5077,0.036915000000590226,0.8912627551020408,0.630500637755102,0.5038163265306123
46,196,3232,893,4125,0.029307599999810918,0.8976403061224489,0.6315369897959183,0.5011530612244898
47,196,3192,917,4109,0.027539700000488665,0.9139030612244898,0.6422991071428571,0.5158061224489796
48,196,2878,920,3798,0.02519920000122511,0.9056122448979592,0.6431760204081632,0.5163367346938775
49,196,2385,928,3313,0.020743300001413445,0.9129464285714286,0.6509088010204082,0.5147857142857143
50,196,2239,919,3158,0.019588700000895187,0.8954081632653061,0.6444515306122449,0.5099387755102041
